ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Catochrysops panormus exiguus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Catochrysops,,0,0.00,0.00
Chliaria kina inari,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Chliaria,范義彬,0,24.66,121.61
Tirumala limniace limniace,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Tirumala,未知,0,0.00,0.00
Tirumala septentrionis,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Tirumala,未知,0,0.00,0.00
Radena similis similis,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Radena,未知,0,21.95,120.79
Parantica aglea maghaba,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Parantica,,0,0.00,0.00
Pantoporia hordonia rihodona,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Pantoporia,沈勇強,0,22.97,120.68
Ypthima perfecta akragas,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Ypthima,沈勇強,0,24.22,121.31
Ypthima multistriata,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Ypthima,張玉珍,0,0.00,0.00
Idea leuconoe clara,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Idea,張玉珍,0,0.00,0.00
Stichophthalma howqua formosana,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Stichophthalma,楊英烈,0,23.90,120.88
Danaus plexippus,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Danaus,,0,0.00,0.00
Euploea althaea juvia,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euploea,,0,0.00,0.00
Euploea mulciber barsine,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euploea,未知,0,0.00,0.00
Euploea tulliolus koxinga,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Nymphalidae,蛺蝶科,Euploea,未知,0,0.00,0.00
