資料日期,代號,名稱,成交股數,成交筆數,成交金額,成交價格,未成交買價,未成交買量,未成交賣價,未成交賣量
"1110628","00749B","凱基新興債10+","0","0","0","0.00","30.70","1099","0.00","0"
"1110628","00750B","凱基科技債10+","0","0","0","0.00","34.15","1099","0.00","0"
"1110628","00751B","元大AAA至A公司債","2","1","74","37.20","35.28","2256","37.20","93"
"1110628","00754B","群益AAA-AA公司債","0","0","0","0.00","36.78","2099","37.04","57"
"1110628","00755B","群益15年IG公用債","0","0","0","0.00","34.76","1169","35.10","179"
"1110628","00756B","群益15年EM主權債","630","1","20078","31.87","31.87","3062","32.08","1384"
"1110628","00758B","FH能源債","0","0","0","0.00","50.60","4096","50.80","2997"
"1110628","00759B","FH製藥債","0","0","0","0.00","56.15","5095","56.35","2998"
"1110628","00760B","FH新興企業債","0","0","0","0.00","51.05","6006","51.25","3087"
"1110628","00761B","國泰A級公司債","0","0","0","0.00","36.76","2099","37.40","120"
"1110628","00764B","群益25年美債","505","2","17523","34.70","34.70","1903","34.95","1945"
"1110628","00765B","群益中國政金債","0","0","0","0.00","39.96","2074","40.20","25"
"1110628","00768B","FH20年美債","0","0","0","0.00","57.10","7456","57.20","5660"
"1110628","00772B","中信高評級公司債","28","1","998","35.65","35.65","4759","36.01","14"
"1110628","00773B","中信優先金融債","0","0","0","0.00","35.60","2144","36.00","3"
"1110628","00777B","凱基AAA至A公司債","0","0","0","0.00","34.55","1099","0.00","0"
"1110628","00778B","凱基金融債20+","0","0","0","0.00","34.75","1099","0.00","0"
"1110628","00779B","凱基美債25+","0","0","0","0.00","34.65","1099","0.00","0"
"1110628","00780B","國泰A級金融債","0","0","0","0.00","35.24","2099","35.90","11"
"1110628","00781B","國泰A級科技債","0","0","0","0.00","33.35","2099","33.95","10"
"1110628","00782B","國泰A級公用債","0","0","0","0.00","33.56","3097","37.00","489"
"1110628","00784B","富邦中國投等債","0","0","0","0.00","35.66","3518","36.06","1204"
"1110628","00785B","富邦金融投等債","0","0","0","0.00","34.11","2009","34.39","992"
"1110628","00786B","元大10年IG銀行債","0","0","0","0.00","33.01","2099","33.60","494"
"1110628","00787B","元大10年IG醫療債","0","0","0","0.00","34.15","1099","0.00","0"
"1110628","00788B","元大10年IG電能債","0","0","0","0.00","32.35","1099","0.00","0"
"1110628","00789B","FH公司債A3","0","0","0","0.00","51.70","1099","0.00","0"
"1110628","00790B","FH次順位IG金融債","0","0","0","0.00","51.40","1099","0.00","0"
"1110628","00791B","FH美元信用債1-5Y","0","0","0","0.00","50.40","1099","0.00","0"
"1110628","00792B","群益A級公司債","0","0","0","0.00","33.34","2098","41.98","1"
"1110628","00793B","群益AAA-A醫療債","0","0","0","0.00","33.34","3049","33.88","340"
"1110628","00794B","群益7+中國政金債","0","0","0","0.00","39.85","1099","0.00","0"
"1110628","00795B","中信美國公債20年","0","0","0","0.00","33.65","1955","34.00","144"
"1110628","00796B","中信中國債7-10","0","0","0","0.00","41.47","1199","41.90","7"
"1110628","00799B","國泰A級醫療債","0","0","0","0.00","33.75","2099","34.40","2"
"1110628","00831B","新光美債1-3","0","0","0","0.00","36.20","1099","0.00","0"
"1110628","00834B","第一金金融債10+","0","0","0","0.00","32.99","2099","33.60","800"
"1110628","00836B","永豐10年A公司債","561","2","17216","30.69","30.69","1890","30.92","1193"
"1110628","00840B","凱基IG精選15+","0","0","0","0.00","31.55","1099","0.00","0"
"1110628","00841B","凱基AAA-AA公司債","0","0","0","0.00","31.60","1099","0.00","0"
"1110628","00842B","台新美元銀行債","0","0","0","0.00","31.75","1099","0.00","0"
"1110628","00843B","台新中國政策債","0","0","0","0.00","39.75","1099","0.00","0"
"1110628","00844B","新光15年IG金融債","0","0","0","0.00","31.65","1099","0.00","0"
"1110628","00845B","富邦新興投等債","0","0","0","0.00","29.83","2647","30.01","2501"
"1110628","00846B","富邦歐洲銀行債","0","0","0","0.00","31.84","2147","32.20","97"
"1110628","00847B","中信美國市政債","0","0","0","0.00","28.20","2099","28.70","11"
"1110628","00848B","中信新興亞洲債","0","0","0","0.00","32.59","1853","33.00","414"
"1110628","00849B","中信EM主權債0-5","0","0","0","0.00","34.32","3083","34.50","102"
"1110628","00853B","統一美債10年Aa-A","0","0","0","0.00","28.50","1099","0.00","0"
"1110628","00856B","永豐1-3年美公債","433","3","15787","36.46","36.46","1940","36.68","2187"
"1110628","00857B","永豐20年美公債","22","1","633","28.80","28.80","2684","28.94","1081"
"1110628","00858","永豐美國500大","11","1","280","25.50","25.50","14787","25.54","10818"
"1110628","00859B","群益0-1年美債","0","0","0","0.00","37.35","1099","0.00","0"
"1110628","00860B","群益1-5年IG債","0","0","0","0.00","35.86","3099","36.50","9"
"1110628","00862B","中信投資級公司債","0","0","0","0.00","31.01","2099","31.55","1"
"1110628","00863B","中信全球電信債","0","0","0","0.00","32.46","2098","33.00","80"
"1110628","00864B","中信美國公債0-1","0","0","0","0.00","38.63","2069","38.85","30"
"1110628","00867B","新光A-BBB電信債","0","0","0","0.00","31.75","1099","0.00","0"
"1110628","00870B","元大15年EM主權債","0","0","0","0.00","29.55","2093","30.00","333"
