項次,行政區,分局,名稱,里別,地址,地下層數位址,容納人數,座標X,座標Y,場所名稱,,
155,中山區,中山分局,捷運車站,永安里,臺北市中山區北安路534之1號,1、2,10153,121.547078,25.079446,捷運大直站,,
156,中山區,中山分局,地下停車場,埤頭里,臺北市中山區八德路二段158號,1、2,7565,121.537606,25.046066,進安公園地下停車場,,
157,中山區,中山分局,地下停車場,康樂里,臺北市中山區南京東路一段35號,1、2,44398,121.52694,25.053073,林森公園地下停車場,,
158,中山區,中山分局,地下停車場,聚盛里,臺北市中山區中山北路二段93巷30號,1、2,12762,121.524518,25.059258,永盛公園地下停車場,,
159,中山區,中山分局,地下停車場,金泰里,臺北市中山區樂群二路266巷1號,1、2,12466,121.561678,25.079539,濱江國中地下停車場,,
160,中山區,中山分局,地下停車場,興亞里,臺北市中山區松江路90巷14號,1、2,10916,121.531225,25.050381,長安國小地下停車場,,
161,中山區,中山分局,地下停車場,行仁里,臺北市中山區建國北路三段39號,1、2,11597,121.537612,25.063914,榮星花園地下停車場,,
162,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段157巷10弄6號,1,248,121.542416,25.034258,臺北市政府員工宿舍,,
163,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,330,121.540396,25.033674,師大附中-西樓,,
164,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,1332,121.540396,25.033674,師大附中-中正樓,,
165,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,2345,121.540396,25.033674,師大附中-明德樓,,
166,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,2368,121.540396,25.033674,師大附中-至善樓,,
167,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,1529,121.540396,25.033674,師大附中-樂教樓,,
168,大安區,大安分局,公有建築物,和安里,臺北市大安區信義路三段143號,1,1553,121.540396,25.033674,師大附中-新民樓,,
