"yearmonth","organ","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10"
"104 年 5 月","蘆洲分局","","","","","","","","","",""
"104 年 5 月","土城分局","","","","","","","","","",""
"104 年 5 月","金山分局","","","","","","","1.0","","",""
"104 年 5 月","瑞芳分局","","","","","","","1.0","","",""
"104 年 6月","板橋分局","","","","","","","","","",""
"104 年 6月","海山分局","","","","","","","","","",""
"104 年 6月","永和分局","","","","","","","","","",""
"104 年 6月","中和第一分局","","","","","","","","","",""
"104 年 6月","中和第二分局","","","","","","","1.0","","",""
"104 年 6月","三重分局","","","","","","","","1.0","",""
"104 年 6月","新莊分局","","","","","","","","","",""
"104 年 6月","三峽分局","","","","","","","","","",""
"104年 6月","淡水分局","","","","","","","","","",""
"104 年 6月","汐止分局","","","","","","","","","",""
"104 年 6月","樹林分局","","","","","","","","","",""
"104 年 6月","新店分局","","","","2.0","","","","","",""
"104 年 6月","蘆洲分局","","","","","","","1.0","1.0","",""
"104 年 6月","土城分局","","","","","","","","","",""
"104 年 6月","金山分局","","","","","","","","","",""
"104 年 6月","瑞芳分局","","","","","","","1.0","","",""
"104年7月","板橋分局","","","","","","","","","",""
"104年7月","海山分局","","","","","","","","1.0","",""
"104年7月","永和分局","","","","","","","","","",""
"104年7月","中和第一分局","","","","","","","","","",""
"104年7月","中和第二分局","","","","","","","1.0","","",""
"104年7月","三重分局","","","","","","","","","",""
"104年7月","新莊分局","","","","","","","","1.0","",""
"104年7月","三峽分局","","","","1.0","","","","","",""
"104年7月","淡水分局","","","","","","","1.0","","",""
"104年7月","汐止分局","","","","","","","","","",""
"104年7月","樹林分局","","","","","","","","","",""
"104年7月","新店分局","","","","","","","","","",""
"104年7月","蘆洲分局","","","","","","","","1.0","",""
"104年7月","土城分局","","","","","","","","","",""
"104年7月","金山分局","","","","","","","","","",""
"104年7月","瑞芳分局","","","","","1.0","","","","",""
"104年8月","板橋分局","","","","","","","","1.0","",""
"104年8月","海山分局","","","","","","","1.0","","",""
"104年8月","永和分局","","","","","","","","","",""
"104年8月","中和第一分局","","","","","","","","","",""
"104年8月","中和第二分局","","","","","","","","","",""
"104年8月","三重分局","","","","","","","","","",""
"104年8月","新莊分局","","","","","","","","","",""
"104年8月","三峽分局","","","","","","","","","",""
"104年8月","淡水分局","","","","","","","","","",""
"104年8月","汐止分局","","","","","","","1.0","","",""
"104年8月","樹林分局","","","","","","","","","",""
"104年8月","新店分局","","","","","","","1.0","1.0","",""
"104年8月","蘆洲分局","","","","","","","","","",""
"104年8月","土城分局","","","","","","","","","",""
"104年8月","金山分局","","","","","","","","1.0","",""
"104年8月","瑞芳分局","","","","","","","","","",""
"104年9月","板橋分局","","1.0","","","","","","","",""
"104年9月","海山分局","","","","","","","","","",""
"104年9月","永和分局","","","","","","","","","",""
"104年9月","中和第一分局","","","","","","","2.0","","",""
"104年9月","中和第二分局","","","","","","","","","",""
"104年9月","三重分局","","","","","","","","1.0","",""
"104年9月","新莊分局","","","","","","","2.0","","",""
"104年9月","三峽分局","","","","","","","","","",""
"104年9月","淡水分局","","","","","","","","1.0","",""
"104年9月","汐止分局","","","","","","","","","",""
"104年9月","樹林分局","","","","","","","","1.0","",""
"104年9月","新店分局","","","","","","","","","",""
"104年9月","蘆洲分局","","","","","","","","1.0","",""
"104年9月","土城分局","","","","","","","","","",""
"104年9月","金山分局","","","","","","","","1.0","",""
"104年9月","瑞芳分局","","","","","","","","1.0","",""
